d,s,m,param_count
88,60,3,117921
88,60,6,215481
88,60,9,313041
88,64,3,132049
88,64,6,243025
88,64,9,354001
88,68,3,147041
88,68,6,272297
88,68,9,397553
88,72,3,162897
88,72,6,303297
88,72,9,443697
88,76,3,179617
88,76,6,336025
88,76,9,492433
88,80,3,197201
88,80,6,370481
88,80,9,543761
88,84,3,215649
88,84,6,406665
88,84,9,597681
96,4,3,11793
96,8,3,13889
96,8,6,15665
96,12,3,16849
96,12,6,20809
96,12,9,24769
96,16,3,20673
96,16,6,27681
96,16,9,34689
96,20,3,25361
96,20,6,36281
96,20,9,47201
96,24,3,30913
96,24,6,46609
96,24,9,62305
96,28,3,37329
96,28,6,58665
96,28,9,80001
96,32,3,44609
96,32,6,72449
96,32,9,100289
96,36,3,52753
96,36,6,87961
96,36,9,123169
96,40,3,61761
96,40,6,105201
96,40,9,148641
96,44,3,71633
96,44,6,124169
96,44,9,176705
96,48,3,82369
96,48,6,144865
96,48,9,207361
96,52,3,93969
96,52,6,167289
96,52,9,240609
96,56,3,106433
96,56,6,191441
96,56,9,276449
96,60,3,119761
96,60,6,217321
96,60,9,314881
96,64,3,133953
96,64,6,244929
96,64,9,355905
96,68,3,149009
96,68,6,274265
96,68,9,399521
96,72,3,164929
96,72,6,305329
96,72,9,445729
96,76,3,181713
96,76,6,338121
96,76,9,494529
96,80,3,199361
96,80,6,372641
96,80,9,545921
96,84,3,217873
96,84,6,408889
96,84,9,599905
96,88,3,237249
96,88,6,446865
96,88,9,656481
96,92,3,257489
96,92,6,486569
96,92,9,715649
104,4,3,12737
104,8,3,14897
104,8,6,16673
104,12,3,17921
104,12,6,21881
104,12,9,25841
104,16,3,21809
104,16,6,28817
104,16,9,35825
104,20,3,26561
104,20,6,37481
104,20,9,48401
104,24,3,32177
104,24,6,47873
104,24,9,63569
104,28,3,38657
104,28,6,59993
104,28,9,81329
104,32,3,46001
104,32,6,73841
104,32,9,101681
104,36,3,54209
104,36,6,89417
104,36,9,124625
104,40,3,63281
104,40,6,106721
104,40,9,150161
104,44,3,73217
104,44,6,125753
104,44,9,178289
104,48,3,84017
104,48,6,146513
